Record Length,2250,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00000450000,-1.04000,
Vertical Scale,CH1:2.00,,-0.00000449600,-1.04000,
Vertical Offset,CH1:-0.08000,,-0.00000449200,-1.12000,
Horizontal Units,s,,-0.00000448800,-0.96000,
Horizontal Scale,0.0000005000,,-0.00000448400,-0.88000,
Model Number,ADS-3072B,,-0.00000448000,-0.72000,
Serial Number,NEU00004121681,,-0.00000447600,-0.48000,
Software Version,5.01.02.13,,-0.00000447200,-0.40000,
,,,-0.00000380000,0.72000,
,,,-0.00000379600,0.64000,
,,,-0.00000379200,0.64000,
,,,-0.00000378800,0.56000,
,,,-0.00000378400,0.64000,
,,,-0.00000378000,0.56000,
,,,-0.00000377600,0.56000,
,,,-0.00000377200,0.56000,
,,,-0.00000376800,0.56000,
,,,-0.00000376400,0.72000,
,,,-0.00000376000,0.72000,
,,,-0.00000375600,0.72000,
,,,-0.00000375200,0.80000,
,,,-0.00000374800,0.64000,
,,,-0.00000374400,0.72000,
,,,-0.00000374000,0.64000,
,,,-0.00000373600,0.48000,
,,,-0.00000373200,0.32000,
,,,-0.00000372800,0.24000,
,,,-0.00000372400,0.16000,
,,,-0.00000372000,0.00,
,,,-0.00000371600,0.00,
,,,-0.00000371200,-0.08000,
,,,-0.00000370800,0.00,
,,,-0.00000370400,0.08000,
,,,-0.00000370000,0.24000,
,,,-0.00000369600,0.32000,
,,,-0.00000369200,0.40000,
,,,-0.00000368800,0.56000,
,,,-0.00000368400,0.72000,
,,,-0.00000368000,0.72000,
,,,-0.00000367600,0.72000,
,,,-0.00000367200,0.72000,
,,,-0.00000366800,0.64000,
,,,-0.00000366400,0.56000,
,,,-0.00000366000,0.40000,
,,,-0.00000365600,0.32000,
,,,-0.00000365200,0.16000,
,,,-0.00000364800,0.08000,
,,,-0.00000364400,0.08000,
,,,-0.00000364000,0.00,
,,,-0.00000363600,-0.08000,
,,,-0.00000363200,-0.16000,
,,,-0.00000362800,-0.16000,
,,,-0.00000362400,-0.08000,
,,,-0.00000362000,-0.16000,
,,,-0.00000361600,-0.08000,
,,,-0.00000361200,-0.16000,
,,,-0.00000360800,-0.16000,
,,,-0.00000360400,0.00,
,,,-0.00000360000,0.00,
,,,-0.00000359600,0.08000,
,,,-0.00000359200,0.08000,
,,,-0.00000358800,0.08000,
,,,-0.00000358400,0.24000,
,,,-0.00000358000,0.24000,
,,,-0.00000357600,0.32000,
,,,-0.00000357200,0.32000,
,,,-0.00000356800,0.32000,
,,,-0.00000356400,0.40000,
,,,-0.00000356000,0.40000,
,,,-0.00000355600,0.32000,
,,,-0.00000355200,0.32000,
,,,-0.00000354800,0.16000,
,,,-0.00000354400,0.24000,
,,,-0.00000354000,0.16000,
,,,-0.00000353600,0.16000,
,,,-0.00000353200,0.08000,
,,,-0.00000352800,0.08000,
,,,-0.00000352400,0.16000,
,,,-0.00000352000,0.08000,
,,,-0.00000351600,0.16000,
,,,-0.00000351200,0.16000,
,,,-0.00000350800,0.16000,
,,,-0.00000350400,0.16000,
,,,-0.00000350000,0.16000,
,,,-0.00000349600,0.16000,
,,,-0.00000349200,0.08000,
,,,-0.00000348800,0.08000,
,,,-0.00000348400,0.08000,
,,,-0.00000348000,0.00,
,,,-0.00000347600,0.00,
,,,-0.00000347200,0.00,
,,,-0.00000346800,-0.08000,
,,,-0.00000346400,-0.08000,
,,,-0.00000346000,-0.08000,
,,,-0.00000345600,0.00,
,,,-0.00000345200,0.08000,
,,,-0.00000344800,0.08000,
,,,-0.00000344400,0.16000,
,,,-0.00000344000,0.16000,
,,,-0.00000343600,0.32000,
,,,-0.00000343200,0.32000,
,,,-0.00000342800,0.32000,
,,,-0.00000342400,0.40000,
,,,-0.00000342000,0.40000,
,,,-0.00000341600,0.32000,
,,,-0.00000341200,0.32000,
,,,-0.00000340800,0.16000,
,,,-0.00000340400,0.16000,
,,,-0.00000340000,0.08000,
,,,-0.00000339600,0.00,
,,,-0.00000339200,-0.08000,
,,,-0.00000338800,-0.08000,
,,,-0.00000338400,-0.08000,
,,,-0.00000338000,0.00,
,,,-0.00000337600,0.00,
,,,-0.00000337200,0.00,
,,,-0.00000336800,0.08000,
,,,-0.00000336400,0.24000,
,,,-0.00000336000,0.24000,
,,,-0.00000335600,0.24000,
,,,-0.00000335200,0.32000,
,,,-0.00000334800,0.32000,
,,,-0.00000334400,0.32000,
,,,-0.00000334000,0.32000,
